Designator,Mid X,Mid Y,Layer,Rotation
C1,162.738951,-116.933953,bottom,-90
C2,167.97,-118.05,bottom,-90
C3,147.48,-120.03,bottom,-90
C4,149.954874,-120.03,bottom,-90
C5,143,-114.2,bottom,180
C6,145.11,-116.41,bottom,180
C7,143.4,-111.83,bottom,180
C8,130.98,-115.81,bottom,0
C9,133.949999,-111.500001,bottom,180
C10,131.58,-110.39,bottom,135
C11,135.25,-93.75,bottom,135
C12,135.18,-123.62,bottom,-90
C13,137.087017,-116.982983,bottom,45
C14,134.56,-113.8,bottom,-90
C15,132.032665,-96.896621,bottom,135
C16,128.886039,-100.113957,bottom,135
C17,125.274999,-109.671599,bottom,180
C18,156.75,-87.25,bottom,180
C19,162.53,-98.68,bottom,-90
D1,159.153951,-119.493952,bottom,0
F1,159.238951,-114.333952,bottom,-90
F2,153.29,-121.32,bottom,-65
J11,147.1,-95.125,bottom,0
L1,141.65,-116.41,bottom,0
L2,131.85,-118.14,bottom,180
L3,156.75,-90.69,bottom,180
Q1,154.103445,-124.923881,bottom,25
Q2,141.98,-125.28,bottom,0
Q3,144.48,-126.78,bottom,-90
Q4,139.98,-125.53,bottom,90
Q5,133.282084,-109.327155,bottom,45
Q6,146.05,-107.37,bottom,-90
R1,161.988951,-115.433953,bottom,180
R2,170.488951,-113.833952,bottom,-90
R3,170.488951,-116.333952,bottom,-90
R4,161.988951,-114.083952,bottom,180
R5,152.16,-123.29,bottom,-65
R6,139.73,-120.78,bottom,90
R7,145.01,-120.04,bottom,-90
R8,142.4,-127.29,bottom,90
R9,141.32,-127.29,bottom,-90
R10,143.77,-124.59,bottom,-90
R11,144.28,-123.03,bottom,0
R13,139.23,-122.53,bottom,180
R14,139.58,-129.81,bottom,180
R15,138.25,-105.25,bottom,90
R16,131,-109.08,bottom,45
R17,130.15,-105.23,bottom,0
R18,128.24,-115.98,bottom,-90
R19,126.46,-111.83,bottom,135
R20,127.03,-115.47,bottom,-90
R22,156.12,-98.98,bottom,180
R29,143.175,-107.5,bottom,0
R30,145.9,-109.9,bottom,0
SW1,148.25,-130.25,bottom,180
U1,166.599999,-115.25,bottom,0
U2,141.73,-119.53,bottom,90
U3,130.44,-113.319999,bottom,0
U4,128.105002,-108.308398,bottom,-90
U5,156.4375,-95.2375,bottom,90
U9,137.03,-89.5,bottom,180
BZ1,161.75,-119.22954,top,135
C20,150.3,-114.5,top,0
C21,137.800001,-99.75,top,180
C22,141.92,-97.83,top,0
C23,149.675,-112.75,top,180
C24,142.675,-112.75,top,180
C25,153.175,-101.5,top,-90
C26,138.1,-106.95,top,90
C27,136.57,-109.08,top,-90
C28,134.93,-109.09,top,-90
C29,137.675,-105.25,top,45
C30,135.675,-103,top,90
C31,135.675,-105,top,-90
C32,159.675,-109.75,top,-90
C33,157.925,-109.75,top,-90
C34,142.45,-92.9,top,180
C35,148.15,-92.85,top,180
C36,153.35,-92.95,top,180
D2,140.4,-91.98,top,-90
D3,146.01,-92,top,-90
D4,151.3,-92.04,top,-90
D5,156.25,-114.5,top,45
FB1,135.750004,-107.3,top,180
J1,158,-127,top,-67.5
J2,153.5,-128.75,top,-67.5
J3,128.043017,-97.777024,top,-25
J4,126.5,-101.25,top,-25
J8,133.87421,-95.216313,top,-45
J9,167.75,-107.75,top,90
J10,159.203949,-89.203949,top,45
Q7,154.349999,-113.025,top,0
R12,140.186879,-125.303122,top,0
R21,159.05,-94.93,top,-90
R23,140.16,-96.29,top,-90
R24,142.25,-95.75,top,0
R25,141.75,-94.25,top,180
R26,153.675,-104.5,top,180
R27,167.5,-100.75,top,90
R28,166.25,-100.75,top,90
R31,144.25,-95.25,top,90
R32,149.19,-97.15,top,-90
R33,147.925,-97.25,top,-90
R34,146.675,-97.25,top,-90
R35,145.425,-97.25,top,-90
R36,153.675,-105.75,top,180
R37,154,-110.490001,top,90
U6,145.675,-105.25,top,0
U7,142.175,-117.5,top,-45
U8,146.925,-115.75,top,-45
Y1,133.175,-103.75,top,-90
