Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1u","C_0402_1005Metric",162.738951,-116.933953,-90.000000,bottom
"C2","1u","C_0402_1005Metric",167.970000,-118.050000,-90.000000,bottom
"C3","4u7","C_0805_2012Metric",147.480000,-120.030000,-90.000000,bottom
"C4","4u7","C_0805_2012Metric",149.954874,-120.030000,-90.000000,bottom
"C5","10u","C_0805_2012Metric",143.000000,-114.200000,180.000000,bottom
"C6","10u","C_0805_2012Metric",145.110000,-116.410000,180.000000,bottom
"C7","100n","C_0402_1005Metric",143.400000,-111.830000,180.000000,bottom
"C8","100n","C_0402_1005Metric",130.980000,-115.810000,0.000000,bottom
"C9","100n","C_0402_1005Metric",133.949999,-111.500001,180.000000,bottom
"C10","22n","C_0201_0603Metric",131.580000,-110.390000,135.000000,bottom
"C11","47u","C_1812_4532Metric",135.250000,-93.750000,135.000000,bottom
"C12","100u","C_2220_5750Metric",135.180000,-123.620000,-90.000000,bottom
"C13","22u","C_1210_3225Metric",137.087017,-116.982983,45.000000,bottom
"C14","4u7","C_0805_2012Metric",134.560000,-113.800000,-90.000000,bottom
"C15","47u","C_1812_4532Metric",132.032665,-96.896621,135.000000,bottom
"C16","47u","C_1812_4532Metric",128.886039,-100.113957,135.000000,bottom
"C17","1n","C_0402_1005Metric",125.274999,-109.671599,180.000000,bottom
"C18","4u7","C_0805_2012Metric",156.750000,-87.250000,180.000000,bottom
"C19","10u","C_0805_2012Metric",162.530000,-98.680000,-90.000000,bottom
"D1","SD101CW-E3-18","D_SOD-123",159.153951,-119.493952,0.000000,bottom
"F1","600m","Fuse_1206_3216Metric",159.238951,-114.333952,-90.000000,bottom
"F2","500m","Fuse_1206_3216Metric",153.290000,-121.320000,-65.000000,bottom
"J11","SD Card Hirose DM3AT","microSD_HC_Hirose_DM3AT-SF-PEJM5",147.100000,-95.125000,0.000000,bottom
"L1","2u2","IND_LQH2MPZ2R2MGRL",141.650000,-116.410000,0.000000,bottom
"L2","1u","0806",131.850000,-118.140000,180.000000,bottom
"L3","2u2","IND_LQH2MPZ2R2MGRL",156.750000,-90.690000,180.000000,bottom
"Q1","PMOS","DFN-6-2EP_(AGM20P16AS)",154.103445,-124.923881,25.000000,bottom
"Q2","NMOS","DFN-3(0.6x1)",141.980000,-125.280000,0.000000,bottom
"Q3","NMOS","DFN-3(0.6x1)",144.480000,-126.780000,-90.000000,bottom
"Q4","NMOS","DFN-3(0.6x1)",139.980000,-125.530000,90.000000,bottom
"Q5","PMOS","DFN-6-2EP_(AGM20P16AS)",133.282084,-109.327155,45.000000,bottom
"Q6","NMOS","SOT-363_SC-70-6",146.050000,-107.370000,-90.000000,bottom
"R1","1k","R_0402_1005Metric",161.988951,-115.433953,180.000000,bottom
"R2","10k","R_0402_1005Metric",170.488951,-113.833952,-90.000000,bottom
"R3","10k","R_0402_1005Metric",170.488951,-116.333952,-90.000000,bottom
"R4","1k5","R_0402_1005Metric",161.988951,-114.083952,180.000000,bottom
"R5","1k","R_0402_1005Metric",152.160000,-123.290000,-65.000000,bottom
"R6","100k","R_0402_1005Metric",139.730000,-120.780000,90.000000,bottom
"R7","267k","R_0402_1005Metric",145.010000,-120.040000,-90.000000,bottom
"R8","1k","R_0402_1005Metric",142.400000,-127.290000,90.000000,bottom
"R9","1k","R_0402_1005Metric",141.320000,-127.290000,-90.000000,bottom
"R10","100","R_0402_1005Metric",143.770000,-124.590000,-90.000000,bottom
"R11","100k","R_0402_1005Metric",144.280000,-123.030000,0.000000,bottom
"R13","100k","R_0402_1005Metric",139.230000,-122.530000,180.000000,bottom
"R14","365k","R_0402_1005Metric",139.580000,-129.810000,180.000000,bottom
"R15","100k","R_0402_1005Metric",138.250000,-105.250000,90.000000,bottom
"R16","121k","R_0402_1005Metric",131.000000,-109.080000,45.000000,bottom
"R17","536k","R_0402_1005Metric",130.150000,-105.230000,0.000000,bottom
"R18","300k","R_0402_1005Metric",128.240000,-115.980000,-90.000000,bottom
"R19","44k2","R_0402_1005Metric",126.460000,-111.830000,135.000000,bottom
"R20","78k7","R_0402_1005Metric",127.030000,-115.470000,-90.000000,bottom
"R22","562k","R_0402_1005Metric",156.120000,-98.980000,180.000000,bottom
"R29","1k","R_0402_1005Metric",143.175000,-107.500000,0.000000,bottom
"R30","1k","R_0402_1005Metric",145.900000,-109.900000,0.000000,bottom
"SW1","SW_SPDT","MK-12C02-G020_GSW",148.250000,-130.250000,180.000000,bottom
"U1","BQ24090DGQ","HVSSOP-10-1EP_3x3mm_P0.5mm_EP1.57x1.88mm_ThermalVias",166.599999,-115.250000,0.000000,bottom
"U2","TPS62840DLCR","SON50P200X150X100-8N",141.730000,-119.530000,90.000000,bottom
"U3","TPS611781RNWR","RNW0013A",130.440000,-113.319999,0.000000,bottom
"U4","MCP4552T-104E/MF","DFN8_3x3MC_MCH",128.105002,-108.308398,-90.000000,bottom
"U5","MCP1640x-xMC","DFN-8-1EP_3x2mm_P0.5mm_EP1.75x1.45mm",156.437500,-95.237500,90.000000,bottom
"U9","SHTC3","SON100P200X200X80-5N",137.030000,-89.500000,180.000000,bottom
