Ref,Val,Package,PosX,PosY,Rot,Side
"BZ1","MLT-8530","MLT-8530_JHE",161.750000,-119.229540,135.000000,top
"C20","2u2","C_0603_1608Metric",150.300000,-114.500000,0.000000,top
"C21","10u","C_0805_2012Metric",137.800001,-99.750000,180.000000,top
"C22","100n","C_0402_1005Metric",141.920000,-97.830000,0.000000,top
"C23","100n","C_0402_1005Metric",149.675000,-112.750000,180.000000,top
"C24","100n","C_0402_1005Metric",142.675000,-112.750000,180.000000,top
"C25","100n","C_0402_1005Metric",153.175000,-101.500000,-90.000000,top
"C26","10n","C_0402_1005Metric",138.100000,-106.950000,90.000000,top
"C27","1u","C_0402_1005Metric",136.570000,-109.080000,-90.000000,top
"C28","1u","C_0402_1005Metric",134.930000,-109.090000,-90.000000,top
"C29","100n","C_0402_1005Metric",137.675000,-105.250000,45.000000,top
"C30","30p","C_0402_1005Metric",135.675000,-103.000000,90.000000,top
"C31","30p","C_0402_1005Metric",135.675000,-105.000000,-90.000000,top
"C32","10u","C_0603_1608Metric",159.675000,-109.750000,-90.000000,top
"C33","4u7","C_0603_1608Metric",157.925000,-109.750000,-90.000000,top
"C34","220n","C_0402_1005Metric",142.450000,-92.900000,180.000000,top
"C35","220n","C_0402_1005Metric",148.150000,-92.850000,180.000000,top
"C36","220n","C_0402_1005Metric",153.350000,-92.950000,180.000000,top
"D2","SK6805","SK6805-EC15",140.400000,-91.980000,-90.000000,top
"D3","SK6805","SK6805-EC15",146.010000,-92.000000,-90.000000,top
"D4","SK6805","SK6805-EC15",151.300000,-92.040000,-90.000000,top
"D5","SD101CW-E3-18","D_SOD-123",156.250000,-114.500000,45.000000,top
"FB1","GZ1608D121TF","L_0603_1608Metric",135.750004,-107.300000,180.000000,top
"J1","Conn_01x01_Pin","Pad_4x4mm",158.000000,-127.000000,-67.500000,top
"J2","Conn_01x01_Pin","Pad_4x4mm",153.500000,-128.750000,-67.500000,top
"J3","Conn_01x01_Pin","Pad_3x3mm",128.043017,-97.777024,-25.000000,top
"J4","Conn_01x01_Pin","Pad_3x3mm",126.500000,-101.250000,-25.000000,top
"J8","Conn_01x03_Pin","PinHeader_1x03_P2.54mm_Vertical_SMD_Pin1Left",133.874210,-95.216313,-45.000000,top
"J9","USB_C_Receptacle_USB2.0_14P","USB_C_Receptacle_G-Switch_GT-USB-7010ASV",167.750000,-107.750000,90.000000,top
"J10","Conn_01x05_Pin","PinHeader_1x05_P2.54mm_Vertical",159.203949,-89.203949,45.000000,top
"Q7","NMOS","DFN-3(0.6x1)",154.349999,-113.025000,0.000000,top
"R12","100k","R_0402_1005Metric",140.186879,-125.303122,0.000000,top
"R21","976k","R_0402_1005Metric",159.050000,-94.930000,-90.000000,top
"R23","1k","R_0402_1005Metric",140.160000,-96.290000,-90.000000,top
"R24","1k","R_0402_1005Metric",142.250000,-95.750000,0.000000,top
"R25","50k","R_0402_1005Metric",141.750000,-94.250000,180.000000,top
"R26","100k","R_0402_1005Metric",153.675000,-104.500000,180.000000,top
"R27","5k1","R_0402_1005Metric",167.500000,-100.750000,90.000000,top
"R28","5k1","R_0402_1005Metric",166.250000,-100.750000,90.000000,top
"R31","10k","R_0402_1005Metric",144.250000,-95.250000,90.000000,top
"R32","1k","R_0402_1005Metric",149.190000,-97.150000,-90.000000,top
"R33","1k","R_0402_1005Metric",147.925000,-97.250000,-90.000000,top
"R34","1k","R_0402_1005Metric",146.675000,-97.250000,-90.000000,top
"R35","1k","R_0402_1005Metric",145.425000,-97.250000,-90.000000,top
"R36","1k","R_0402_1005Metric",153.675000,-105.750000,180.000000,top
"R37","470","R_0402_1005Metric",154.000000,-110.490001,90.000000,top
"U6","STM32F411RET6","LQFP-64_10x10mm_P0.5mm",145.675000,-105.250000,0.000000,top
"U7","BMI270","XDCR_BMI270",142.175000,-117.500000,-45.000000,top
"U8","BMP390L","XDCR_BMP390L",146.925000,-115.750000,-45.000000,top
"Y1","16M","Crystal_SMD_3225-4Pin_3.2x2.5mm",133.175000,-103.750000,-90.000000,top
